rank,game_id,names,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,age,mechanic,owned,category
4238,128218,Helvetia Cup,2,2,45,45,45,2012,6.91883,5.68383,173,10,Simulation,537,"Fantasy, Sports"
4239,128938,Pack of Heroes,2,2,20,20,20,2014,6.4257,5.68372,284,10,"Card Drafting, Hand Management, Variable Player Powers",759,"Card Game, Comic Book / Strip, Fighting"
4240,38805,Rebel Raiders on the High Seas,2,2,360,360,360,2013,7.06897,5.68365,146,0,none,547,"American Civil War, Nautical, Wargame"
4241,2464,Swords & Sorcery,2,7,180,180,180,1978,6.79955,5.68351,220,12,"Action Point Allowance System, Hex-and-Counter, Role Playing, Variable Player Powers",568,"Adventure, Fantasy, Wargame"
4242,12567,Russia Besieged,2,2,360,360,360,2004,7.43125,5.6833,144,12,"Dice Rolling, Hex-and-Counter",384,"Wargame, World War II"
4243,29411,Castle Knights,2,4,10,10,10,2007,6.52562,5.68321,242,5,Co-operative Play,492,"Action / Dexterity, Children's Game, Medieval"
4244,156786,Munchkin Panic,1,6,60,45,60,2014,6.1987,5.68318,493,8,"Co-operative Play, Hand Management",1547,"Card Game, Fantasy"
4245,192656,Nightmarium,2,5,30,10,30,2014,6.76451,5.68314,224,10,"Hand Management, Set Collection",437,"Card Game, Fantasy"
4246,79282,Era of Inventions,3,5,90,90,90,2010,6.09582,5.68311,536,12,Worker Placement,701,Industry / Manufacturing
4247,29017,Dschungelschatz,2,4,15,15,15,2006,6.77725,5.6831,189,6,"Memory, Pattern Recognition",310,"Action / Dexterity, Adventure, Children's Game, Exploration, Memory"
4248,103061,Carnac,2,2,20,20,20,2011,6.96379,5.68307,174,8,"Area Control / Area Influence, Pattern Building",247,Abstract Strategy
4249,173804,Gruff,2,4,45,20,45,2015,6.74888,5.68298,250,11,"Campaign / Battle Card Driven, Variable Player Powers",787,"Card Game, Fantasy, Fighting"
4250,2860,Piecepack,0,0,10,10,10,2001,7.08514,5.68293,154,5,none,556,"Book, Game System"
4251,21436,18FL,2,4,150,150,150,2006,7.11377,5.68291,138,12,"Route/Network Building, Stock Holding, Tile Placement",151,"Economic, Trains"
4252,473,Olé!,3,8,30,30,30,1996,6.55802,5.6829,237,8,Hand Management,343,Card Game
4253,175254,Apocrypha Adventure Card Game,1,6,60,60,0,2017,7.11064,5.68284,201,12,"Co-operative Play, Deck / Pool Building, Dice Rolling, Hand Management, Role Playing, Variable Player Powers",966,"Adventure, Card Game, Fantasy, Horror"
4254,42396,The Eagle and The Star,2,4,180,180,180,2009,7.6915,5.68267,100,12,"Campaign / Battle Card Driven, Hand Management, Point to Point Movement, Secret Unit Deployment, Simulation",152,"Bluffing, Wargame"
4255,661,Where's Bob's Hat?,3,5,45,45,45,1990,6.2289,5.68248,390,10,Trick-taking,663,Card Game
4256,182218,Hoax (second edition),3,6,20,10,20,2016,6.18922,5.68246,432,14,"Memory, Voting",1249,"Bluffing, Deduction, Murder/Mystery, Party Game"
4257,1463,Girl Genius: The Works,2,4,30,30,30,2001,6.04903,5.68235,680,10,Modular Board,1079,Card Game
4258,4275,Pea Ridge: The Gettysburg of the West March 7-8 1862,1,2,240,240,240,1980,7.22842,5.6822,139,12,Hex-and-Counter,453,"American Civil War, Wargame"
4259,18946,Just Desserts,2,5,25,25,25,2015,6.15692,5.6821,489,8,Set Collection,1227,Card Game
4260,11122,Proud Monster: The Barbarossa Campaign,2,2,660,0,660,1994,7.24363,5.68206,135,12,"Dice Rolling, Hex-and-Counter",471,"Wargame, World War II"
4261,15167,King Arthur: The Card Game,2,5,30,30,30,2005,6.10006,5.68202,492,8,"Hand Management, Set Collection",709,"Card Game, Fantasy"
4262,8495,De Bellis Multitudinis,2,2,180,180,180,1993,6.54053,5.68201,243,12,Dice Rolling,437,"Ancient, Book, Medieval, Miniatures, Wargame"
4263,206859,Iberian Rails,2,5,90,70,90,2017,6.95254,5.68174,181,14,"Auction/Bidding, Commodity Speculation, Route/Network Building, Stock Holding",298,"Economic, Trains"
4264,193238,Tunisia II,1,2,3000,120,3000,2016,8.36207,5.68157,87,0,"Dice Rolling, Hex-and-Counter, Simulation",550,"Wargame, World War II"
4265,142503,One Night Werewolf,3,7,10,10,10,2012,6.23485,5.6815,397,10,"Partnerships, Variable Player Powers, Voting",692,"Bluffing, Card Game, Deduction, Negotiation, Party Game"
4266,4244,Highway to the Reich (first and second editions),1,5,360,360,360,1976,6.99521,5.68149,167,12,"Hex-and-Counter, Paper-and-Pencil",381,"Wargame, World War II"
4267,230304,Unlock! The Nautilus' Traps,1,6,60,60,60,2017,6.00612,5.68129,560,10,"Co-operative Play, Storytelling",1524,"Card Game, Exploration, Puzzle, Real-time"
4268,165563,Prohis,3,6,20,20,20,2014,6.2966,5.68108,338,10,Hand Management,602,"Bluffing, Card Game, Mafia"
4269,159355,Colors of Kasane,3,4,25,25,25,2014,7.03417,5.68107,144,10,"Hand Management, Pattern Building, Set Collection",202,"Abstract Strategy, Card Game"
4270,104805,Animal Upon Animal: Small and Yet Great!,2,2,15,15,15,2011,6.33495,5.68101,311,5,Dice Rolling,672,"Action / Dexterity, Animals, Children's Game"
4271,114684,Villages,2,6,30,30,30,2011,6.58613,5.68096,280,8,"Dice Rolling, Hand Management, Set Collection, Variable Player Powers",654,"Civilization, Fantasy"
4272,20889,Great War at Sea: Jutland,2,2,30,30,30,2006,7.18865,5.68084,141,12,"Dice Rolling, Hex-and-Counter, Paper-and-Pencil, Secret Unit Deployment",526,"Nautical, Wargame, World War I"
4273,118337,Urbanization,2,4,75,75,75,2012,6.1946,5.68073,389,12,Variable Player Powers,1012,City Building
4274,1533,Ghost Chase,2,5,60,60,60,2001,6.19484,5.68071,397,8,"Partnerships, Secret Unit Deployment",731,"Children's Game, Deduction, Exploration"
